City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hithadhoo,MV,2022-08-23 07:08:53,-0.6,73.0833,81.73,77,87,15.08
68,Ancud,CL,2022-08-23 07:08:53,-41.8697,-73.8203,47.28,91,100,8.08
69,Avarua,CK,2022-08-23 07:08:54,-21.2078,-159.775,73.45,83,75,10.36
70,Saskylakh,RU,2022-08-23 07:08:54,71.9167,114.0833,51.96,54,100,9.04
71,Tuy Hoa,VN,2022-08-23 07:08:55,13.0833,109.3,92.43,55,49,7.92
72,Shelburne,CA,2022-08-23 07:08:55,44.0787,-80.2041,64.76,99,100,5.77
73,Foxton,NZ,2022-08-23 07:08:56,-40.4667,175.3,54.93,86,77,6.98
74,Ponta Do Sol,PT,2022-08-23 07:08:57,32.6667,-17.1,74.01,64,7,4.12
75,Chifeng,CN,2022-08-23 07:08:58,42.2683,118.9636,74.37,28,22,11.39
76,Byron Bay,AU,2022-08-23 07:08:58,-28.65,153.6167,69.76,68,23,16.08
77,Vaini,TO,2022-08-23 07:08:59,-21.2,-175.2,69.96,94,20,4.61
78,Samandag,TR,2022-08-23 07:09:00,36.0842,35.9771,86.52,70,48,14.29
79,Mataura,NZ,2022-08-23 07:09:01,-46.1927,168.8643,44.13,79,100,3.85
80,Isla Mujeres,MX,2022-08-23 07:09:01,21.2311,-86.731,80.65,82,46,9.26
81,Manggar,ID,2022-08-23 07:09:02,-2.8833,108.2667,83.08,72,99,11.59
82,Moranbah,AU,2022-08-23 07:09:03,-22.0016,148.0466,76.93,33,0,8.46
83,Yellowknife,CA,2022-08-23 07:06:53,62.456,-114.3525,51.57,53,99,8.01
84,East London,ZA,2022-08-23 07:09:03,-33.0153,27.9116,64.76,73,65,16.49
85,Jamestown,US,2022-08-23 07:05:48,42.097,-79.2353,65.71,74,100,1.01
86,Gorom-Gorom,BF,2022-08-23 07:09:04,14.4439,-0.2361,76.24,75,100,19.51
87,Puerto Ayora,EC,2022-08-23 07:09:05,-0.7393,-90.3518,67.55,97,73,5.99
88,Msanga,TZ,2022-08-23 07:10:06,-6.05,36.0333,68.52,58,84,9.53
89,Severo-Kurilsk,RU,2022-08-23 07:10:06,50.6789,156.125,55.51,97,100,13.4
90,Malinyi,TZ,2022-08-23 07:10:07,-8.9333,36.1333,73.13,65,93,2.35
91,Hobart,AU,2022-08-23 07:10:07,-42.8794,147.3294,47.05,64,20,10.36
92,Iqaluit,CA,2022-08-23 07:10:08,63.7506,-68.5145,40.69,80,100,4.0
93,Hualmay,PE,2022-08-23 07:10:08,-11.0964,-77.6139,60.17,87,46,9.22
94,Fortuna,US,2022-08-23 07:10:09,40.5982,-124.1573,63.36,92,100,1.01
95,Kruisfontein,ZA,2022-08-23 07:10:09,-34.0033,24.7314,56.95,67,100,6.24
96,Fuquay-Varina,US,2022-08-23 07:10:10,35.5843,-78.8,72.3,90,1,3.0
97,Grand Gaube,MU,2022-08-23 07:10:11,-20.0064,57.6608,77.4,60,5,11.99
98,Pili,PH,2022-08-23 07:10:12,13.5833,123.3,81.84,84,99,9.82
99,West Wendover,US,2022-08-23 07:06:46,40.7391,-114.0733,78.01,29,0,0.0
100,Chumikan,RU,2022-08-23 07:10:12,54.7183,135.315,60.98,61,100,6.06
101,Tuatapere,NZ,2022-08-23 07:10:13,-46.1333,167.6833,46.69,86,15,9.6
102,Arandis,NA,2022-08-23 07:10:14,-22.4167,14.9667,70.86,9,0,10.96
103,Aksu,CN,2022-08-23 07:10:14,41.1231,80.2644,79.21,27,100,6.31
104,Mangrol,IN,2022-08-23 07:10:15,21.1167,70.1167,82.92,80,100,20.0
105,Kaitangata,NZ,2022-08-23 07:10:15,-46.2817,169.8464,45.82,81,100,4.83
106,Kulevcha,UA,2022-08-23 07:10:16,46.0303,29.9361,85.3,48,62,9.13
107,Lavrentiya,RU,2022-08-23 07:10:16,65.5833,-171.0,36.91,87,0,1.61
108,Takoradi,GH,2022-08-23 07:10:17,4.8845,-1.7554,74.95,85,100,8.46
109,Dakar,SN,2022-08-23 07:07:50,14.6937,-17.4441,79.68,80,100,12.26
110,Ixtapa,MX,2022-08-23 07:09:07,20.7,-105.2,80.22,89,0,1.01
111,Coquimbo,CL,2022-08-23 07:10:18,-29.9533,-71.3436,53.33,87,100,3.44
112,Talnakh,RU,2022-08-23 07:10:19,69.4865,88.3972,52.21,96,100,3.94
113,Asau,RO,2022-08-23 07:10:20,46.4333,26.4,69.28,76,94,3.0
114,Birao,CF,2022-08-23 07:10:20,10.2849,22.7882,77.07,87,84,5.08
115,Jertih,MY,2022-08-23 07:10:21,5.7336,102.4897,86.99,63,98,6.67
116,Aliwal North,ZA,2022-08-23 07:10:22,-30.6937,26.7114,56.77,25,58,4.65
117,Miri,MY,2022-08-23 07:10:22,4.4148,114.0089,85.08,66,93,6.42
118,Lorengau,PG,2022-08-23 07:10:23,-2.0226,147.2712,83.98,65,22,9.24
119,Coahuayana,MX,2022-08-23 07:10:23,18.7333,-103.6833,77.18,94,21,2.82
120,Vikarabad,IN,2022-08-23 07:10:24,17.3333,77.9,81.19,66,100,14.56
121,Nikolskoye,RU,2022-08-23 07:10:24,59.7035,30.7861,74.88,53,98,4.47
122,Mount Isa,AU,2022-08-23 07:10:25,-20.7333,139.5,71.37,23,0,21.85
123,Viedma,AR,2022-08-23 07:10:25,-40.8135,-62.9967,53.53,39,100,20.04
124,Vila Franca Do Campo,PT,2022-08-23 07:10:26,37.7167,-25.4333,73.2,72,86,3.56
125,Cabedelo,BR,2022-08-23 07:10:27,-6.9811,-34.8339,72.27,89,100,13.96
126,Hilo,US,2022-08-23 07:06:04,19.7297,-155.09,79.29,97,100,4.61
127,Beloha,MG,2022-08-23 07:07:20,-25.1667,45.05,76.62,52,0,9.89
128,Lodja,CD,2022-08-23 07:10:28,-3.4833,23.4333,77.31,75,65,2.75
129,Mayor Pablo Lagerenza,PY,2022-08-23 07:10:28,-19.9309,-60.7718,67.01,57,49,4.29
130,Pangnirtung,CA,2022-08-23 07:10:29,66.1451,-65.7125,40.03,98,100,7.4
131,Semikarakorsk,RU,2022-08-23 07:10:29,47.5194,40.8112,89.06,20,0,20.11
132,Topolobampo,MX,2022-08-23 07:10:30,25.6,-109.05,83.93,68,100,5.64
133,Teguldet,RU,2022-08-23 07:10:31,57.3064,88.1667,62.53,42,95,4.81
134,Stephenville,US,2022-08-23 07:10:31,32.2207,-98.2023,73.53,92,40,5.75
135,Qaanaaq,GL,2022-08-23 07:11:32,77.484,-69.3632,29.21,57,8,6.55
136,Khatanga,RU,2022-08-23 07:11:32,71.9667,102.5,44.38,85,100,12.48
137,Pisco,PE,2022-08-23 07:11:33,-13.7,-76.2167,51.03,87,5,2.3
138,Feni,BD,2022-08-23 07:11:34,23.0186,91.41,85.77,75,88,11.23
139,Walvis Bay,NA,2022-08-23 07:11:34,-22.9575,14.5053,59.47,69,0,4.56
140,Hovd,MN,2022-08-23 07:11:35,48.0056,91.6419,65.7,21,1,10.89
141,Arraial Do Cabo,BR,2022-08-23 07:11:36,-22.9661,-42.0278,67.32,75,18,12.59
142,Chuy,UY,2022-08-23 07:11:36,-33.6971,-53.4616,49.42,95,64,4.05
143,Salalah,OM,2022-08-23 07:11:37,17.0151,54.0924,76.39,90,100,9.15
144,Saint George,US,2022-08-23 07:11:38,37.1041,-113.5841,81.79,52,0,0.0
145,Waipawa,NZ,2022-08-23 07:11:38,-41.4122,175.5153,47.28,93,24,2.62
146,Haicheng,CN,2022-08-23 07:11:39,40.8516,122.7475,74.52,60,38,11.39
147,Inhambane,MZ,2022-08-23 07:11:39,-23.865,35.3833,72.52,48,0,10.27
148,Harper,LR,2022-08-23 07:11:40,4.375,-7.7169,75.45,88,100,9.42
149,Fairbanks,US,2022-08-23 07:11:40,64.8378,-147.7164,64.81,78,75,5.75
150,Jumla,NP,2022-08-23 07:11:41,29.2747,82.1838,76.69,57,76,7.61
151,Tiksi,RU,2022-08-23 07:11:42,71.6872,128.8694,41.05,80,99,3.0
152,Tsumeb,NA,2022-08-23 07:11:42,-19.2333,17.7167,64.49,28,1,15.88
153,La Rochelle,FR,2022-08-23 07:11:43,46.1667,-1.15,69.94,88,100,4.61
154,Rehoboth,NA,2022-08-23 07:11:43,-23.3167,17.0833,61.9,14,0,5.35
155,Mahebourg,MU,2022-08-23 07:11:44,-20.4081,57.7,77.29,61,20,12.66
156,Portland,US,2022-08-23 07:10:59,45.5234,-122.6762,73.47,67,0,10.36
157,Boa Vista,BR,2022-08-23 07:11:45,2.8197,-60.6733,73.38,88,75,4.61
158,Tolaga Bay,NZ,2022-08-23 07:11:45,-38.3667,178.3,52.95,87,1,6.42
159,Geraldton,AU,2022-08-23 07:11:46,-28.7667,114.6,68.41,37,93,16.11
160,Dawei,MM,2022-08-23 07:11:46,14.0833,98.2,85.91,70,97,6.13
161,Pafos,CY,2022-08-23 07:11:47,34.7667,32.4167,83.98,61,40,8.05
162,Ust-Kuyga,RU,2022-08-23 07:11:48,70.0167,135.6,41.77,87,100,3.15
163,Korla,CN,2022-08-23 07:11:48,41.7597,86.1469,79.41,22,99,5.48
164,Kristiansund,NO,2022-08-23 07:11:49,63.1115,7.732,56.05,71,0,6.91
165,Beringovskiy,RU,2022-08-23 07:11:49,63.05,179.3167,51.96,89,100,6.02
166,Sakakah,SA,2022-08-23 07:11:50,29.9697,40.2064,90.01,17,0,12.19
167,Turinsk,RU,2022-08-23 07:11:50,58.0458,63.696,78.19,43,28,4.83
168,Amapa,BR,2022-08-23 07:11:51,1.0,-52.0,69.6,96,100,0.85
169,Te Anau,NZ,2022-08-23 07:11:51,-45.4167,167.7167,44.92,91,96,6.58
170,Svetlogorsk,BY,2022-08-23 07:11:52,52.6333,29.7333,76.3,38,88,10.65
171,Jacareacanga,BR,2022-08-23 07:11:53,-6.2222,-57.7528,67.64,57,8,0.92
172,Alyangula,AU,2022-08-23 07:11:53,-13.8483,136.4192,79.83,49,2,14.34
173,Nago,JP,2022-08-23 07:11:54,26.5881,127.9761,92.25,71,57,6.55
174,Rocha,UY,2022-08-23 07:11:54,-34.4833,-54.3333,46.71,96,97,4.63
175,Donskoye,RU,2022-08-23 07:11:55,45.4552,41.9741,81.63,21,0,25.52
176,Ostrovnoy,RU,2022-08-23 07:11:55,68.0531,39.5131,63.03,58,100,20.49
177,Saint-Pierre,RE,2022-08-23 07:11:56,-21.3393,55.4781,80.28,52,0,3.44
178,Sinnamary,GF,2022-08-23 07:11:56,5.3833,-52.95,73.89,92,100,7.9
179,Zima,RU,2022-08-23 07:11:57,53.9202,102.0442,49.55,87,100,9.64
180,Havelock,US,2022-08-23 07:10:35,34.8791,-76.9013,75.18,92,100,6.8
181,Tautira,PF,2022-08-23 07:12:58,-17.7333,-149.15,75.67,80,59,18.95
182,Hasaki,JP,2022-08-23 07:12:58,35.7333,140.8333,91.29,86,98,14.14
183,Vangaindrano,MG,2022-08-23 07:12:59,-23.35,47.6,72.59,70,0,4.03
184,New Norfolk,AU,2022-08-23 07:12:59,-42.7826,147.0587,46.71,72,12,5.99
185,Ajaccio,FR,2022-08-23 07:10:27,42.0,8.9167,71.65,64,0,5.75
186,Upernavik,GL,2022-08-23 07:13:00,72.7868,-56.1549,40.15,74,100,11.79
187,Bagotville,AU,2022-08-23 07:13:01,-28.9833,153.4167,69.69,57,74,10.42
188,Mananara,MG,2022-08-23 07:13:01,-16.1667,49.7667,72.82,80,36,10.22
189,Arlit,NE,2022-08-23 07:13:02,18.7369,7.3853,88.86,42,100,10.92
190,Bengkulu,ID,2022-08-23 07:13:03,-3.8004,102.2655,82.24,77,96,4.65
191,Lata,PT,2022-08-23 07:13:04,40.1629,-8.3327,71.92,56,2,2.66
192,Aklavik,CA,2022-08-23 07:13:04,68.2191,-135.0107,46.67,62,100,7.18
193,Wum,CM,2022-08-23 07:13:05,6.3833,10.0667,66.18,92,100,2.1
194,Ulaangom,MN,2022-08-23 07:13:05,49.9811,92.0667,69.35,27,43,5.03
195,Taltal,CL,2022-08-23 07:13:06,-25.4,-70.4833,56.35,72,0,4.9
196,Westerland,DE,2022-08-23 07:13:07,54.9079,8.3033,68.02,73,75,11.5
197,Ossora,RU,2022-08-23 07:13:07,59.2353,163.0719,60.1,81,93,5.82
198,Ikornnes,NO,2022-08-23 07:13:08,62.3873,6.557,63.16,85,65,5.06
199,Bethel,US,2022-08-23 07:13:09,41.3712,-73.414,71.96,87,96,2.06
200,Horodnya,UA,2022-08-23 07:13:09,51.8909,31.5974,79.27,33,83,15.82
201,Shihezi,CN,2022-08-23 07:13:10,44.3,86.0333,76.71,21,100,12.68
202,Faanui,PF,2022-08-23 07:13:10,-16.4833,-151.75,77.88,75,93,19.51
203,Hirtshals,DK,2022-08-23 07:13:11,57.5881,9.9592,63.48,67,100,12.28
204,Sistranda,NO,2022-08-23 07:13:11,63.7256,8.834,53.56,77,28,9.35
205,Nagornyy,RU,2022-08-23 07:13:12,52.7959,83.5498,65.41,48,94,8.57
206,Puerto Carreno,CO,2022-08-23 07:13:13,6.189,-67.4859,70.99,92,61,4.0
207,Ukiah,US,2022-08-23 07:13:13,39.1502,-123.2078,69.69,78,0,3.44
208,Bilma,NE,2022-08-23 07:13:14,18.6853,12.9164,93.36,27,100,9.04
209,Tahoua,NE,2022-08-23 07:13:14,14.8888,5.2692,80.35,64,100,9.95
210,Bull Savanna,JM,2022-08-23 07:13:15,17.8868,-77.5902,76.08,88,42,7.09
211,Yataity,PY,2022-08-23 07:13:15,-26.3667,-56.0667,57.6,96,0,3.91
212,Neiafu,TO,2022-08-23 07:13:16,-18.65,-173.9833,75.94,70,6,9.13
213,Tergnier,FR,2022-08-23 07:13:17,49.6561,3.3011,71.49,61,99,5.12
214,Ust-Nera,RU,2022-08-23 07:13:17,64.5667,143.2,55.67,85,100,2.86
215,Buraydah,SA,2022-08-23 07:13:18,26.326,43.975,99.46,10,0,11.7
216,Yinchuan,CN,2022-08-23 07:13:18,38.4681,106.2731,77.54,36,36,13.18
217,Policoro,IT,2022-08-23 07:13:19,40.2115,16.6726,79.74,38,31,5.5
218,Cap Malheureux,MU,2022-08-23 07:13:19,-19.9842,57.6142,76.46,60,5,11.99
219,La Plata,AR,2022-08-23 07:10:04,-34.9215,-57.9545,52.02,86,100,7.45
220,Andenes,NO,2022-08-23 07:13:20,69.3143,16.1194,52.93,87,75,28.77
221,Teguise,ES,2022-08-23 07:13:21,29.0605,-13.564,68.22,83,20,18.41
222,Clyde River,CA,2022-08-23 07:13:21,70.4692,-68.5914,39.43,93,100,16.11
223,Abrau-Dyurso,RU,2022-08-23 07:13:22,44.69,37.59,80.06,40,8,7.58
224,Hambantota,LK,2022-08-23 07:13:23,6.1241,81.1185,87.76,61,88,24.79
225,Provideniya,RU,2022-08-23 07:13:23,64.3833,-173.3,50.59,63,0,4.27
226,Letlhakane,BW,2022-08-23 07:13:24,-21.4167,25.5833,63.48,42,5,16.78
227,Fare,PF,2022-08-23 07:13:24,-16.7,-151.0167,77.27,77,9,19.86
228,Bansang,GM,2022-08-23 07:13:25,13.4333,-14.65,73.81,97,100,3.11
