City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Awjilah,LY,86.0,clear sky,29.1081,21.2869,المنزل
220,Vung Tau,VN,85.46,overcast clouds,10.346,107.0843,Seaside Resort
221,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
224,Chernoyerkovskaya,RU,85.78,few clouds,45.4331,37.7686,Chernoyerkovskaya
225,Negombo,LK,86.05,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
227,Laguna,US,78.17,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
230,Mitsamiouli,KM,77.85,broken clouds,-11.3847,43.2844,Foyer ADM
238,Cairns,AU,75.07,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
239,Samarai,PG,80.56,overcast clouds,-10.6167,150.6667,Nuli Sapi
243,Nantucket,US,75.31,mist,41.2835,-70.0995,Jared Coffin House
244,Weiser,US,77.9,clear sky,44.251,-116.9693,The Colonial Motel
246,Bria,CF,78.66,broken clouds,6.5423,21.9863,WFP Guesthouse
247,Daru,PG,76.5,light rain,-9.0763,143.2092,Daru Lodge
250,Gushikawa,JP,89.6,clear sky,26.3544,127.8686,Kirari Guest House
251,Diffa,NE,85.01,overcast clouds,13.3154,12.6113,ProDAF/Diffa
253,Wajir,KE,81.68,overcast clouds,1.7471,40.0573,Mahatallah Hotel
257,Katsuura,JP,78.3,heavy intensity rain,35.1333,140.3,Katsuura Hotel Mikazuki
259,Kandrian,PG,79.39,overcast clouds,-6.2167,149.55,Kandrian Station
260,Tautira,PF,75.99,broken clouds,-17.7333,-149.15,Pension Oaoa
264,Matamoros,MX,76.59,overcast clouds,25.5333,-103.25,Quinta Belem
265,Bodden Town,KY,81.93,clear sky,19.2833,-81.25,Will T Place
271,Beyneu,KZ,84.22,clear sky,45.3167,55.2,NUR
274,Kawalu,ID,77.79,overcast clouds,-7.3817,108.2082,West Jontor
280,Itarema,BR,76.46,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
281,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
283,Kuala Pilah,MY,86.36,overcast clouds,2.7389,102.2487,Orange Hotel Kuala Pilah
290,Pingzhuang,CN,77.67,overcast clouds,42.0372,119.2889,Haoke Guest House
291,Vanimo,PG,80.1,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
308,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
309,Labuhan,ID,85.6,scattered clouds,-6.8844,112.2051,DoubleFAG
313,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
314,Jiuquan,CN,77.74,broken clouds,39.7432,98.5174,Jiuquan Hotel
315,Zuwarah,LY,83.7,clear sky,32.9312,12.082,مطعم كابيتانو
318,Tecoanapa,MX,76.62,broken clouds,16.5167,-98.75,Hotel Manglares
321,Progreso,MX,75.31,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
324,Quang Ngai,VN,88.12,overcast clouds,15.1167,108.8,Central Hotel
327,Darnah,LY,81.23,clear sky,32.767,22.6367,فندق الفردوس
332,Anloga,GH,76.75,overcast clouds,5.7947,0.8973,Pin Drop Hotel
336,Quelimane,MZ,75.15,scattered clouds,-17.8786,36.8883,Hotel Flamingo
340,Shimoda,JP,88.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
342,Seoul,KR,80.17,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
346,Mayskiy,RU,85.41,clear sky,47.6931,40.1025,Dio Lakrua
347,Lichuan,CN,79.41,overcast clouds,30.3,108.85,Yuanlai Homestay
349,Comal,US,78.96,scattered clouds,29.8169,-98.3003,Creek Hollow Cabins & RV Park
351,Kundla,IN,88.02,overcast clouds,21.3333,71.3,Gaytri Society
356,Nkhotakota,MW,76.17,clear sky,-12.9274,34.2961,Sitima Inn
359,Singaraja,ID,81.19,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
360,Conakry,GN,75.27,light rain,9.538,-13.6773,Riviera Royal Hotel
361,Makakilo City,US,77.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
363,Severnyy,RU,80.64,clear sky,50.677,36.5532,Full House North Mini-Hotel
369,Rantauprapat,ID,83.82,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
370,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
371,Santa Cruz De Tenerife,ES,78.87,scattered clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
373,Sirur,IN,83.89,overcast clouds,18.8333,74.3833,Shivtara Retreat
374,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
377,Bandar-E Anzali,IR,87.91,clear sky,37.4727,49.4622,هتل بیاچ
379,Brufut,GM,78.89,scattered clouds,13.3814,-16.7518,Gambia Hotel Resort & Spa
380,Nakhon Phanom,TH,87.48,overcast clouds,17.3333,104.4167,ป่ายางรีสอร์ท
385,Cockburn Town,TC,83.05,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
391,Tamiahua,MX,77.43,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
394,Tabuk,PH,77.88,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
397,Marang,MY,88.93,broken clouds,5.2056,103.2059,DBarakah Homestay
398,Royan,FR,78.84,broken clouds,45.6285,-1.0281,CERISE Royan - Le Grand Hôtel de la Plage
399,Maine-Soroa,NE,84.24,overcast clouds,13.2114,12.0241,Complexe
409,Toppenish,US,77.02,clear sky,46.3774,-120.3087,Legends Casino Hotel
416,Lucapa,AO,87.37,few clouds,-8.4192,20.7447,Lírio Mendes
417,Puerto Escondido,MX,78.93,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
418,Kavaratti,IN,79.95,moderate rain,10.5669,72.642,Green leaf
420,Menzelinsk,RU,84.25,clear sky,55.7271,53.1026,Odzun
423,Tanabe,JP,87.01,broken clouds,33.7333,135.3667,美吉屋旅館
430,Tsuyama,JP,81.43,overcast clouds,35.05,134.0,Tsuyama Central Hotel Annex
431,Khash,IR,89.42,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
439,Mattru,SL,76.6,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
445,Caraballeda,VE,80.85,scattered clouds,10.6112,-66.8522,Ole Caribe
449,Jaisinghnagar,IN,85.6,overcast clouds,23.7,81.3833,Sonu Up Dhawa
455,Kutum,SD,78.84,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
460,Vale,GE,83.5,clear sky,41.6156,42.8722,Customs tır park VALE
467,Morondava,MG,80.15,clear sky,-20.2833,44.2833,La Case Bambou
475,Isabela,PH,86.05,overcast clouds,6.7085,121.9711,Isawad Resort
476,Itamaraca,BR,75.25,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
478,Tura,IN,85.01,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
483,Rincon,US,77.86,clear sky,32.296,-81.2354,Days Inn Rincon
484,Biak,ID,78.48,broken clouds,-0.9131,122.8766,Penginapan Kim
486,Kharan,PK,81.77,overcast clouds,28.5833,65.4167,Dil Aram Bangla
487,Celestun,MX,77.49,overcast clouds,20.8667,-90.4,Posada Lilia
490,Yima,CN,85.93,scattered clouds,34.7381,111.8839,Yima Hotel
491,Ixtapa,MX,80.22,clear sky,20.7,-105.2,hotel la terminal
493,Dicabisagan,PH,83.35,heavy intensity rain,17.0818,122.4157,Nancy Montanes Bernardo
497,Rock Sound,BS,82.81,scattered clouds,24.9,-76.2,Pink Corral Bay Property
498,Dawei,MM,85.12,broken clouds,14.0833,98.2,Hotel Dawei
499,Yenagoa,NG,81.95,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
501,Houma,US,78.8,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
502,Karratha,AU,76.41,clear sky,-20.7377,116.8463,ibis Styles Karratha
503,Manggar,ID,83.3,few clouds,-2.8833,108.2667,Guest Hotel
504,Ostashkov,RU,84.04,broken clouds,57.1467,33.1075,Ashkhen
505,Erzin,TR,84.54,broken clouds,36.9559,36.2,Artemis Otel
506,Bull Savanna,JM,75.9,few clouds,17.8868,-77.5902,Big Red's
513,Gizo,SB,82.15,light rain,-8.103,156.8419,Imagination Island
514,Zunyi,CN,84.87,overcast clouds,27.6867,106.9072,Bishiluo Hostel
518,Tongliao,CN,78.51,broken clouds,43.6125,122.2653,Meirujia Hotel
519,Waingapu,ID,81.72,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
522,Abdulino,RU,84.9,clear sky,53.7,53.6667,Hotel Lazur
524,Luwuk,ID,80.04,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
530,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
533,Hun,LY,87.57,clear sky,29.1268,15.9477,Alrwasi Hotel
534,Luganville,VU,77.52,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
536,Bellary,IN,85.91,overcast clouds,15.15,76.9333,Hotel Pawan
542,Kanigoro,ID,79.2,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
549,Sola,VU,79.5,scattered clouds,-13.8833,167.55,Leumerus Bungalows
551,Mataram,ID,85.01,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
553,Xacmaz,AZ,89.11,clear sky,41.4635,48.806,Ulduz Hotel
558,Porto Torres,IT,84.38,clear sky,40.835,8.3972,Hotel Elisa
559,Tevaitoa,PF,76.87,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
563,Kupang,ID,84.78,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
565,Jacmel,HT,76.84,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
570,Manado,ID,88.57,few clouds,1.487,124.8455,Aryaduta Hotel
572,Kampong Cham,KH,90.0,overcast clouds,11.9934,105.4635,7 Makara Hotel
575,Dali,CN,75.04,broken clouds,25.7,100.1833,Dali Travelling With Hostel
577,Hobyo,SO,83.71,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
584,Prieska,ZA,75.11,clear sky,-29.6641,22.7474,Avenue GuestHouse
594,Kodinar,IN,83.34,overcast clouds,20.7903,70.7031,residency of N.B vadhel
597,Miri,MY,82.54,thunderstorm,4.4148,114.0089,"Mega Hotel, Miri"
598,Porterville,US,80.55,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
600,Strezhevoy,RU,75.99,broken clouds,60.7333,77.5889,Sibiryachka
606,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
615,Cozumel,MX,80.22,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
620,Nizhniy Odes,RU,75.16,broken clouds,63.6445,54.856,Gostinitsa Uyut
621,Jaisalmer,IN,84.7,broken clouds,26.9147,70.9181,Hotel Fifu
623,Maurawan,IN,84.24,overcast clouds,26.4333,80.8833,Mahi Sanstha
626,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
629,Nouakchott,MR,82.33,broken clouds,18.0858,-15.9785,HOTEL IMAN
632,Kruisfontein,ZA,77.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
636,Dongli,CN,84.18,scattered clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
637,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
638,Ilinskiy,RU,86.72,clear sky,55.619,38.1182,Around the world
639,Mount Pleasant,US,75.97,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
641,Mumford,GH,76.41,overcast clouds,5.2618,-0.759,Spanish Villa
643,Huilong,CN,78.53,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
647,Sabang,ID,81.82,overcast clouds,5.8933,95.3214,Hotel Citra
652,Asau,RO,76.28,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
653,Bilokurakyne,UA,89.2,clear sky,49.5341,38.7307,ГОСТИНИЦА ЮБИЛЕЙНАЯ( ПАЛУБА)
654,Jalu,LY,89.35,clear sky,29.0331,21.5482,صاحبة الفخامة
658,Zhezkazgan,KZ,78.78,clear sky,47.8043,67.7144,Hotel Zumrat
659,Nelidovo,RU,83.16,broken clouds,56.2211,32.7774,"Tsentral'naya, Gostinitsa"
660,Atyrau,KZ,89.62,clear sky,47.1167,51.8833,River Palace Hotel
670,Banda Aceh,ID,83.82,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
